Topic	Author	Paperlink
An Adaptive Quantum-based Multi-objective Evolutionary Algorithm for Efficient Task Assignment in Distributed Systems	Jerzy Balicki	https://www.semanticscholar.org/paper/An-adaptive-quantum-based-multiobjective-algorithm-Balicki/792378143860d83bdcf51c8a7b88dd78913dd4bc
Pulse: An adaptive intrusion detection for the Internet of Things	Eirini Anthi at el.	https://ieeexplore.ieee.org/abstract/document/8379722
ZebRAM: Comprehensive and Compatible Software Protection Against Rowhammer Attacks	"J. Sun, G. Sun, S. Zhan, J. Zhang and Y. Chen"	https://www.usenix.org/system/files/osdi18-konoth.pdf
AKIN: A Streaming Graph Partitioning Algorithm for Distributed Graph Storage Systems.	"Wei Zhang, Yong Chen, and Dong Dai"	https://ieeexplore.ieee.org/document/8411022
Rethinking the Library OS from the Top Down	Donald E. Porter et al.	http://www.cs.unc.edu/~porter/pubs/p291-porter.pdf
Resilient Distributed Datasets: A Fault-Tolerant Abstraction for In-Memory Cluster Computing	prof. Matei Zaharia	https://cs.stanford.edu/~matei/papers/2012/nsdi_spark.pdf
Automated Performance Modeling of HPC Applications Using Machine Learning	"J. Sun, G. Sun, S. Zhan, J. Zhang and Y. Chen"	8956059.pdf
Marcher: A Heterogeneous System Supporting Energy-Aware High Performance Computing and Big Data Analytics	"Z. L. Zong, R. Ge, Q. J. Gu"	https://www.sciencedirect.com/science/article/pii/S221457961630048X?via%3Dihub
Energy efficient scheduling of parallelizable jobs	"Kyle Fox, Sungjin Im, and Benjamin Moseley."	energyParallel.pdf
Efficient Massively Parallel Methods for Dynamic Programming	Sungjin Im	http://www.andrew.cmu.edu/user/moseleyb/papers/stoc17-main279.pdf
"Noria: dynamic, partially-stateful data-flow for high-performance web applications"	"Gjengset, Schwarzkopf et al."	https://www.usenix.org/system/files/osdi18-gjengset.pdf
Ironclad Apps: End-to-End Security via Automated Full-System Verification	Chris Hawblitzel et al.	osdi14-paper-hawblitzel.pdf
Ginseng: Keeping Secrets in Registers When You Distrust the Operating System	Min Hong Yun and Lin Zhong	https://www.ndss-symposium.org/wp-content/uploads/2019/02/ndss2019_01A-2_Yun_paper.pdf
Splitting Interfaces: Making Trust Between Applications and Operating Systems Configurable.	Richard Ta-Min et al.	http://www.cse.psu.edu/~trj1/cse544-s10/papers/Proxos-OSDI2006-web.pdf
Machine-aware Atomic Broadcast Trees for Multicores	Ola Altiti & Ayah Abu Aqouleh	https://www.usenix.org/system/files/conference/osdi16/osdi16-kaestle.pdf
Arachne: Core-Aware Thread Management	Heba Jarrah & Rahaf Hammouri	https://www.usenix.org/system/files/osdi18-qin.pdf
Task Scheduling in Big Data	"Kannan Govindarajan,Kannan Govindarajan, Supun Kamburugamuve, Pulasthi Wickramasinghe, Vibhatha Abeykoon, Geoffrey Fox"	IEEE_Conference_ICoAC_submitted.pdf
Customizable and Extensible Deployment for Mobile/Cloud Applications	Ayat Qudah & Assel Abu-huq	https://www.usenix.org/system/files/conference/osdi14/osdi14-paper-zhang.pdf
Light-Weight Contexts: An OS Abstraction for Safety and Performance	ujain AL-Smadi & Abdallh Alshorman	https://www.usenix.org/system/files/conference/osdi16/osdi16-litton.pdf
Minimizing Maximum Response Time and Delay Factor in Broadcast Scheduling	"Chandra Chekuri, Sungjin Im and Benjamin Moseley"	Minimizing Maximum Response Time and Delay Factor in Broadcast Scheduling.pdf
Ryoan: A Distributed Sandbox for Untrusted Computation on Secret Data	Tyler Hunt et al.	Ryoan paper.pdf
SuperMIC: Analyzing Large Biological Datasets in Bioinformatics with Maximal Information Coefficient	prof. Dong Dai	dong-tcbb.pdf
Dynamo: Amazon's Highly Available Key-value Store	Giuseppe DeCandia et al.	https://www.allthingsdistributed.com/files/amazon-dynamo-sosp2007.pdf
REPT: Reverse Debugging of Failures in Deployed Software	Anwar & Sally	https://www.usenix.org/system/files/osdi18-cui.pdf
A Comparison of Approaches to Large-Scale Data Analysis	Andrew Pavlo	http://www.science.smith.edu/dftwiki/images/6/6a/ComparisonOfApproachesToLargeScaleDataAnalysis.pdf
Swift Machine Learning Model Serving Scheduling: A Region Based Reinforcement Learning Approach	Heyang Qin et al.	https://dl.acm.org/doi/pdf/10.1145/3295500.3356164?download=true
Fair Online Scheduling for Selfish Jobs on Heterogeneous Machines	Sungjin Im and Janardhan Kulkarni	https://users.cs.duke.edu/~kulkarni/papers/spaa16.pdf
